supermarket,week,niveaSales,niveaPrice,niveaRPrice,niveaDisplay,niveaFeature,niveaDisplayFeature,doveSales,dovePrice,doveRPrice,doveDisplay,doveFeature,doveDisplayFeature,axeSales,axePrice,axeRPrice,axeDisplay,axeFeature,axeDisplayFeature,rexonaSales,rexonaPrice,rexonaRPrice,rexonaDisplay,rexonaFeature,rexonaDisplayFeature
OKay,"2021, week 003",71.23,2.654204689035519,2.606280193236701,.31,.1,.01,43.85,2.563534777651083,2.565333333333334,.02,0,0,86.64,3.513180978762696,3.549591786244434,.01,.01,.01,78.06999999999999,2.603996413475087,2.605509204078931,0,0,0
OKay,"2021, week 004",26.17,4.180664883454337,4.249820071971212,.01,0,0,44.34,2.568335588633288,2.579696830500689,.01,.03,.04,92.98,3.477758657775866,3.528635321100917,0,0,0,78.56999999999999,2.613236604301897,2.615015400410678,.26,.19,.01
OKay,"2021, week 005",32.83,3.351172707889126,3.467285714285713,0,0,0,50.58,2.749070778964018,2.755223880597015,.05,.01,.03,89.47,3.72825528109981,3.732817580446238,.01,.01,.02,82.90000000000001,2.773751507840772,2.775786163522012,.14,.03,.03
OKay,"2021, week 006",33.05,3.33909228441755,3.47928082191781,0,0,0,46.92,2.733823529411765,2.733823529411765,.04,.03,.06,90.54000000000001,3.713485752153744,3.721396071468206,.02,.02,.06,78.63,2.737720971639324,2.739238410596027,.08,.01,0
OKay,"2021, week 007",33.47,3.310008963250672,3.349299533022016,0,0,0,44.45,2.751203599550056,2.751203599550056,.07,.01,0,87.37,3.707760100721071,3.707760100721071,.08,0,0,79.73,2.829411764705883,2.829411764705883,.09,.01,0
OKay,"2021, week 008",32.15,3.333094867807155,3.358477393617022,0,0,0,195.78,2.312350597609562,2.586791715513872,.03,.04,.28,92.89,3.774464420282054,3.774464420282054,.03,0,0,131.26,2.855127228401646,2.603791745661368,.35,0,0
OKay,"2021, week 009",28.37,3.326295382446246,3.354198473282443,0,0,0,60.71,2.470021413276231,2.568032786885246,.11,.02,.02,85.62,3.756517168885774,3.756517168885774,.03,.05,.03,122.44,2.846749428291408,2.587160997021477,.36,.01,.01
OKay,"2021, week 010",30.78,3.360233918128655,3.360233918128655,0,.01,.01,47.42,2.76119780683256,2.76119780683256,.01,.02,.07,95.54000000000001,3.7500523341009,3.7500523341009,.03,.01,.03,81.41,2.87944969905417,2.87944969905417,.04,.08,.07
OKay,"2021, week 011",37.77,3.341037860736034,3.346366782006921,0,.01,.03,49.27,2.796569920844327,2.796311391889138,.01,.03,.03,92.61,3.713162725407624,3.713162725407624,.01,0,0,86.36,2.824594719777675,2.82817937638678,.03,.08,.06
OKay,"2021, week 012",41.63,3.282008167187124,3.391591030432461,0,0,0,56.67,2.734656784895007,2.734656784895007,.01,0,0,105.87,3.737177670728251,3.737177670728251,.01,0,0,103.2,2.792984496124031,2.792984496124031,.02,0,0
OKay,"2021, week 013",114.7,2.513295553618134,3.166701680672269,.31,0,0,52,2.71425,2.724527150701647,.02,.04,.06,95.7,3.698411703239289,3.714158177864255,.01,0,0,104.19,2.760207313561762,2.762154500354359,.03,.01,.03
